Timestamp_,P_,R_,Y_,TimestampM,P,R,Y
3165894430925,0,0,0,1582947215462,0,0,0
3165894430930,0,0,0,1582947215465,0,0,0
3165894430938,0,0,0,1582947215469,0,0,0
3165894430959,0,0,0,1582947215479,0,0,0
3165894430978,0,0,0,1582947215489,0,0,0
3165894430999,0,0,0,1582947215499,0,0,0
3165894431019,0,0,0,1582947215509,0,0,0
3165894431039,0,0,0,1582947215519,0,0,0
3165894431059,0,0,0,1582947215529,0,0,0
3165894431079,0,0,0,1582947215539,0,0,0
3165894431099,0,0,0,1582947215549,0,0,0
3165894431119,0,0,0,1582947215559,0,0,0
3165894431139,0,0,0,1582947215569,0,0,0
3165894431162,0,0,0,1582947215581,0,0,0
3165894431180,0,0,0,1582947215590,0,0,0
3165894431199,0,0,0,1582947215599,0,0,0
3165894431219,0,0,0,1582947215609,0,0,0
3165894431239,0,0,0,1582947215619,0,0,0
3165894431260,0,0,0,1582947215630,0,0,0
3165894431280,0,0,0,1582947215640,0,0,0
3165894431300,0,0,0,1582947215650,0,0,0
3165894431320,0,0,0,1582947215660,0,0,0
3165894431340,0,0,0,1582947215670,0,0,0
3165894431360,0,0,0,1582947215680,0,0,0
3165894431380,0,0,0,1582947215690,0,0,0
3165894431401,0,0,0,1582947215700,0,0,0
3165894431420,0,0,0,1582947215710,0,0,0
3165894431441,0,0,0,1582947215720,0,0,0
3165894431461,0,0,0,1582947215730,0,0,0
3165894431481,0,0,0,1582947215740,0,0,0
3165894431501,0,0,0,1582947215750,0,0,0
3165894431521,0,0,0,1582947215760,0,0,0
3165894431541,0,0,0,1582947215770,0,0,0
3165894431561,0,0,0,1582947215780,0,0,0
3165894431582,0,0,0,1582947215791,0,0,0
3165894431601,0,0,0,1582947215800,0,0,0
3165894431622,0,0,0,1582947215811,0,0,0
3165894431642,0,0,0,1582947215821,0,0,0
3165894431663,0,0,0,1582947215831,0,0,0
3165894431682,0,0,0,1582947215841,0,0,0
3165894431703,0,0,0,1582947215851,0,0,0
3165894431723,0,0,0,1582947215861,0,0,0
3165894431743,0,0,0,1582947215871,0,0,0
3165894431763,0,0,0,1582947215881,0,0,0
3165894431815,0,0,0,1582947215907,0,0,0
3165894431816,0,0,0,1582947215908,0,0,0
3165894431822,0,0,0,1582947215911,0,0,0
3165894431902,0,0,0,1582947215951,0,0,0
3165894431903,0,0,0,1582947215951,0,0,0
3165894431903,0,0,0,1582947215951,0,0,0
3165894431904,0,0,0,1582947215952,0,0,0
3165894432057,0,0,0,1582947216028,0,0,0
3165894432057,0,0,0,1582947216028,0,0,0
3165894432057,0,0,0,1582947216028,0,0,0
3165894432058,0,0,0,1582947216029,0,0,0
3165894432058,0,0,0,1582947216029,0,0,0
3165894432059,0,0,0,1582947216029,0,0,0
3165894432059,0,0,0,1582947216029,0,0,0
3165894432063,0,0,0,1582947216031,0,0,0
3165894432083,0,0,0,1582947216041,0,0,0
3165894432187,0,0,0,1582947216093,0,0,0
3165894432187,0,0,0,1582947216093,0,0,0
3165894432187,0,0,0,1582947216093,0,0,0
3165894432187,0,0,0,1582947216093,0,0,0
3165894432187,0,0,0,1582947216093,0,0,0
3165894432295,0,0,0,1582947216147,0,0,0
3165894432295,0,0,0,1582947216147,0,0,0
3165894432295,0,0,0,1582947216147,0,0,0
3165894432295,0,0,0,1582947216147,0,0,0
3165894432302,0,0,0,1582947216151,0,0,0
3165894432383,0,0,0,1582947216191,0,0,0
3165894432383,0,0,0,1582947216191,0,0,0
3165894432383,0,0,0,1582947216191,0,0,0
3165894432384,0,0,0,1582947216192,0,0,0
3165894432384,0,0,0,1582947216192,0,0,0
3165894432490,0,0,0,1582947216245,0,0,0
3165894432490,0,0,0,1582947216245,0,0,0
3165894432490,0,0,0,1582947216245,0,0,0
3165894432491,0,0,0,1582947216245,0,0,0
3165894432491,0,0,0,1582947216245,0,0,0
3165894432508,0,0,0,1582947216254,0,0,0
3165894432604,0,0,0,1582947216302,0,0,0
3165894432604,0,0,0,1582947216302,0,0,0
3165894432604,0,0,0,1582947216302,0,0,0
3165894432604,0,0,0,1582947216302,0,0,0
3165894432605,0,0,0,1582947216302,0,0,0
3165894432651,0,0,0,1582947216325,0,0,0
3165894432652,0,0,0,1582947216326,0,0,0
3165894432666,0,0,0,1582947216333,0,0,0
3165894432756,0,0,0,1582947216378,0,0,0
3165894432757,0,0,0,1582947216378,0,0,0
3165894432757,0,0,0,1582947216378,0,0,0
3165894432757,0,0,0,1582947216378,0,0,0
3165894432767,0,0,0,1582947216383,0,0,0
3165894432811,0,0,0,1582947216405,0,0,0
3165894432811,0,0,0,1582947216405,0,0,0
3165894432827,0,0,0,1582947216413,0,0,0
3165894432891,0,0,0,1582947216445,0,0,0
3165894432892,0,0,0,1582947216446,0,0,0
3165894432892,0,0,0,1582947216446,0,0,0
3165894432970,0,0,0,1582947216485,0,0,0
3165894432970,0,0,0,1582947216485,0,0,0
3165894432970,0,0,0,1582947216485,0,0,0
3165894432971,0,0,0,1582947216485,0,0,0
3165894433056,0,0,0,1582947216528,0,0,0
3165894433056,0,0,0,1582947216528,0,0,0
3165894433056,0,0,0,1582947216528,0,0,0
3165894433057,0,0,0,1582947216528,0,0,0
3165894433158,0,0,0,1582947216579,0,0,0
3165894433158,0,0,0,1582947216579,0,0,0
3165894433159,0,0,0,1582947216579,0,0,0
3165894433159,0,0,0,1582947216579,0,0,0
3165894433159,0,0,0,1582947216579,0,0,0
3165894433273,0,0,0,1582947216636,0,0,0
3165894433274,0,0,0,1582947216637,0,0,0
3165894433378,0,0,0,1582947216689,0,0,0
